cellID/mutID	mut0	mut1	mut2	mut3	mut4	mut5	mut6
cell0	?	1	1	?	0	1	?
cell1	?	1	?	?	?	1	?
cell2	?	1	?	?	?	?	?
cell3	1	1	?	1	1	?	?
cell4	0	?	0	1	?	1	0
cell5	0	1	0	?	0	?	0
cell6	?	1	?	1	0	1	?
cell7	?	?	1	1	0	?	0
cell8	0	1	0	1	?	1	?
cell9	0	1	0	?	?	?	?
cell10	0	?	?	1	0	1	1
cell11	0	?	?	1	?	?	?
cell12	0	0	0	1	0	0	0
cell13	?	?	?	1	0	1	?
cell14	?	1	1	?	1	?	0
cell15	?	0	0	?	0	0	?
cell16	?	?	1	?	1	?	0
cell17	?	?	?	?	?	1	0
cell18	1	1	1	1	0	1	0
cell19	?	1	1	1	?	?	?
cell20	0	1	?	?	?	?	?
cell21	0	?	0	1	0	?	?
cell22	0	0	?	1	?	?	?
cell23	?	1	1	1	0	1	?
cell24	?	1	1	?	?	?	0
cell25	1	?	1	1	?	1	?
cell26	?	?	?	?	?	?	?
cell27	0	?	0	1	0	0	?
cell28	?	?	?	1	1	1	0
cell29	0	?	1	1	?	?	0
cell30	0	?	0	1	0	?	0
cell31	?	?	0	?	0	?	?
cell32	?	1	1	?	?	?	?
cell33	0	?	?	?	0	0	?
cell34	?	1	1	?	?	1	?
cell35	?	?	1	?	?	?	0
cell36	?	1	?	?	?	?	?
cell37	?	?	?	1	?	1	1
cell38	?	1	?	1	?	1	?
cell39	0	1	?	1	?	?	?
cell40	?	1	?	?	?	?	?
cell41	0	?	?	1	0	?	?
cell42	?	?	0	1	?	1	0
cell43	?	?	0	1	?	?	0
cell44	?	1	?	?	0	1	?
cell45	?	?	0	1	0	0	0
cell46	0	1	1	1	0	?	0
cell47	1	?	?	?	?	?	0
cell48	0	1	0	?	0	?	0
cell49	0	?	0	?	0	?	?
cell50	0	?	?	1	?	?	?
cell51	?	?	?	1	?	?	?
cell52	?	1	?	1	?	1	?
cell53	0	1	?	?	0	?	?
cell54	1	?	?	1	1	?	?
cell55	1	?	1	1	?	?	0
cell56	?	1	1	1	1	1	0
cell57	0	1	0	1	0	1	1
cell58	1	?	1	?	1	?	0
cell59	0	?	0	1	?	?	?
cell60	1	1	?	1	?	?	0
cell61	0	1	?	?	?	?	1
cell62	?	1	?	1	0	?	0
cell63	1	?	1	1	0	?	0
cell64	0	0	0	1	?	?	0
cell65	0	1	0	?	0	1	?
cell66	0	1	0	?	?	?	?
cell67	?	0	0	?	?	?	0
cell68	?	1	0	1	?	?	?
cell69	?	1	1	1	?	?	?
cell70	1	1	?	?	?	?	?
cell71	?	?	0	?	0	?	?
cell72	0	?	0	?	?	?	?
cell73	0	0	0	?	0	?	0
cell74	?	1	?	?	?	?	0
cell75	?	1	?	?	?	?	0
cell76	?	?	0	?	?	?	?
cell77	1	?	?	1	?	1	?
cell78	?	?	?	1	?	?	0
cell79	?	1	1	1	?	?	?
cell80	1	?	1	1	?	?	0
cell81	?	1	?	1	?	1	0
cell82	?	1	1	?	?	1	0
cell83	0	?	?	1	?	1	?
cell84	0	0	0	1	?	0	?
cell85	?	1	?	?	?	?	?
cell86	?	?	?	1	?	1	0
cell87	0	?	0	1	?	1	0
cell88	0	1	1	?	0	1	?
cell89	1	?	1	1	?	1	0
cell90	0	?	?	1	?	1	?
cell91	1	1	1	?	?	?	?
cell92	0	1	0	1	?	?	1
cell93	?	1	?	?	0	?	0
cell94	?	?	1	?	1	1	0
cell95	0	?	0	?	?	?	1
cell96	0	1	?	?	?	1	?
cell97	?	?	0	?	?	1	?
cell98	?	?	1	?	?	1	0
cell99	?	?	0	?	0	?	?
